Series,S,Years,Season,Episode,Name,Date,Holiday,link,Description,Cover
Downton Abbey,6,2010–2015,5,9,A Moorland Holiday,25-Dec-2014,Christmas,https://www.imdb.com/title/tt3962976/?ref_=tt_mv_close,,
Downton Abbey,6,2010–2015,6,9,Christmas Special,25-Dec-2015,Christmas,https://www.imdb.com/title/tt4419112/?ref_=ttep_ep9,,
Mad Men,7,2007–2015,2,1,For Those Who Think Young,27-Jul-2008,St. Valentine's Day,https://www.imdb.com/title/tt1118051/?ref_=ttep_ep1,,
Mad Men,7,2007–2015,4,2,Christmas Comes But Once a Year,1-Aug-2010,Christmas,https://www.imdb.com/title/tt1615661/?ref_=ttep_ep2,,
Mad Men,7,2007–2015,5,10,Christmas Waltz,20-May-2012,Christmas,https://www.imdb.com/title/tt2049164/?ref_=ttep_ep10,,
Mad Men,7,2007–2015,6,1,"The Doorway, Part 1",7-Apr-2013,Christmas,https://www.imdb.com/title/tt2470504/?ref_=ttep_ep1,,
Mad Men,7,2007–2015,6,2,"The Doorway, Part 2",7-Apr-2013,Christmas,https://www.imdb.com/title/tt2649564/?ref_=ttep_ep2,,
Everybody Loves Raymond,9,1996–2005,1,10,Turkey or Fish,22-Nov-1996,Thanksgiving,https://www.imdb.com/title/tt0574269/?ref_=ttep_ep10,,
Everybody Loves Raymond,9,1996–2005,1,12,The Ball,20-Dec-1996,Christmas,https://www.imdb.com/title/tt0574236/?ref_=ttep_ep12,,
Everybody Loves Raymond,9,1996–2005,2,12,All I Want for Christmas,"15, Dec 1997",Christmas,https://www.imdb.com/title/tt0574128/?ref_=ttep_ep12,,
Everybody Loves Raymond,9,1996–2005,3,6,Halloween Candy,26-Oct-1998,Halloween,https://www.imdb.com/title/tt0574169/?ref_=ttep_ep6,,
Everybody Loves Raymond,9,1996–2005,3,10,No Fat,23-Nov-1998,Thanksgiving,https://www.imdb.com/title/tt0574198/?ref_=ttep_ep10,,
Everybody Loves Raymond,9,1996–2005,3,12,The Toaster,14-Dec-1998,Christmas,https://www.imdb.com/title/tt0574263/?ref_=ttep_ep12,,
Everybody Loves Raymond,9,1996–2005,4,9,No Thanks,22-Nov-1999,Thanksgiving,https://www.imdb.com/title/tt0763152/?ref_=ttep_ep9,,
Everybody Loves Raymond,9,1996–2005,4,11,The Christmas Picture,13-Dec-1999,Christmas,https://www.imdb.com/title/tt0574240/?ref_=ttep_ep11,,
Everybody Loves Raymond,9,1996–2005,4,16,The Tenth Anniversary,14-Feb-2000,St. Valentine's Day,https://www.imdb.com/title/tt0574262/?ref_=ttep_ep16,,
Everybody Loves Raymond,9,1996–2005,5,9,Fighting In-Laws,20-Nov-2000,Thanksgiving,https://www.imdb.com/title/tt0574161/?ref_=ttep_ep9,,
Everybody Loves Raymond,9,1996–2005,5,11,Christmas Present,11-Dec-2000,Christmas,https://www.imdb.com/title/tt0764383/?ref_=ttep_ep11,,
Everybody Loves Raymond,9,1996–2005,6,9,Older Women,19-Nov-2001,Thanksgiving,https://www.imdb.com/title/tt0574201/?ref_=ttep_ep9,,
Everybody Loves Raymond,9,1996–2005,6,12,Season's Greetings,17-Dec-2001,Christmas,https://www.imdb.com/title/tt0764399/?ref_=ttep_ep12,,
Everybody Loves Raymond,9,1996–2005,7,11,The Thought That Counts,9-Dec-2002,Christmas,https://www.imdb.com/title/tt0764420/?ref_=ttep_ep11,,
Everybody Loves Raymond,9,1996–2005,8,9,The Bird,24-Nov-2003,Thanksgiving,https://www.imdb.com/title/tt0574237/?ref_=ttep_ep9,,
Everybody Loves Raymond,9,1996–2006,8,10,Jazz Records,15-Dec-2003,Christmas,https://www.imdb.com/title/tt0764390/?ref_=ttep_ep10,,
Everybody Hates Chris,4,2005–2009,1,6,Everybody Hates Halloween,27-Oct-2005,Halloween,https://www.imdb.com/title/tt0574116/?ref_=ttep_ep6,,
Everybody Hates Chris,4,2005–2009,1,11,Everybody Hates Christmas,15-Dec-2005,Christmas,https://www.imdb.com/title/tt0574108/?ref_=ttep_ep11,,
Everybody Hates Chris,4,2005–2009,1,14,Everybody Hates Valentine's Day,9-Feb-2006,St. Valentine's Day,https://www.imdb.com/title/tt0574119/?ref_=ttep_ep14,,
Everybody Hates Chris,4,2005–2009,2,8,Everybody Hates Thanksgiving,20-Nov-2006,Thanksgiving,https://www.imdb.com/title/tt0857864/?ref_=ttep_ep8,,
Everybody Hates Chris,4,2005–2009,2,10,Everybody Hates Kris,11-Dec-2006,Christmas,https://www.imdb.com/title/tt0916925/?ref_=ttep_ep10,,
Everybody Hates Chris,4,2005–2009,3,10,Everybody Hates Kwanzaa,10-Dec-2007,Christmas,https://www.imdb.com/title/tt1032060/?ref_=ttep_ep10,,
Everybody Hates Chris,4,2005–2009,4,10,Everybody Hates New Year's Eve,12-Dec-2008,New Year,https://www.imdb.com/title/tt1336526/?ref_=ttep_ep10,,
Evening Shade,4,1990–1994,1,11,The Wood Who Stole Christmas,17-Dec-1990,Christmas,https://www.imdb.com/title/tt0935401/?ref_=ttep_ep11,,
Evening Shade,4,1990–1994,2,10,The Thanksgiving Show,25-Nov-1991,Thanksgiving,https://www.imdb.com/title/tt0935399/?ref_=ttep_ep10,,
Evening Shade,4,1990–1994,3,12,I'll Be Home for Christmas,21-Dec-1992,Christmas,https://www.imdb.com/title/tt0935375/?ref_=ttep_ep12,,
Evening Shade,4,1990–1994,4,6,Night of the Living Newtons,25-Oct-1993,Halloween,https://www.imdb.com/title/tt0573977/?ref_=ttep_ep6,,
Ellen,5,1994–1998,2,12,The Christmas Show,14-Dec-1994,Christmas,https://www.imdb.com/title/tt0570062/?ref_=ttep_ep12,,
Ellen,5,1994–1998,3,6,Trick or Treat - Who Cares?,1-Nov-1995,Halloween,https://www.imdb.com/title/tt0570094/?ref_=ttep_ep6,,
Ellen,5,1994–1998,3,12,Do You Fear What I Fear?,20-Dec-1995,Christmas,https://www.imdb.com/title/tt0570007/?ref_=ttep_ep12,,
Ellen,5,1994–1998,4,10,Kiss My Bum,27-Nov-1996,Thanksgiving,https://www.imdb.com/title/tt0570036/?ref_=ttep_ep10,,
Ellen,5,1994–1998,4,12,Fleas Navidad,18-Nov-1996,Christmas,https://www.imdb.com/title/tt0570019/?ref_=ttep_ep12,,
Full House,8,1987–1995,1,9,The Miracle of Thanksgiving,20-Nov-1987,Thanksgiving,https://www.imdb.com/title/tt0584227/?ref_=ttep_ep10,,
Full House,8,1987–1995,2,9,Our Very First Christmas Show,16-Dec-1988,Christmas,https://www.imdb.com/title/tt0584185/?ref_=ttep_ep9,,
Full House,8,1987–1995,2,14,Little Shop of Sweaters,10-Feb-1989,St. Valentine's Day,https://www.imdb.com/title/tt0584165/?ref_=ttep_ep14,,
Full House,8,1987–1995,4,13,Happy New Year,28-Dec-1990,New Year,https://www.imdb.com/title/tt0584149/?ref_=ttep_ep13,,
Full House,8,1987–1995,6,12,A Very Tanner Christmas,15-Dec-1992,Christmas,https://www.imdb.com/title/tt0776056/?ref_=ttep_ep12,,
Full House,8,1987–1995,8,11,Arrest Ye Merry Gentlemen,13-Dec-1994,Christmas,https://www.imdb.com/title/tt0584102/?ref_=ttep_ep11,,
Full House,8,1987–1995,8,17,Dateless in San Francisco,14-Feb-1995,St. Valentine's Day,https://www.imdb.com/title/tt0584127/?ref_=ttep_ep17,,
Grace Under Fire,5,1993–1998,1,11,Keeping Faith,15-Dec-1993,Christmas,https://www.imdb.com/title/tt0591729/?ref_=ttep_ep11,,
Grace Under Fire,5,1993–1998,1,16,Valentine's Day,9-Feb-1994,St. Valentine's Day,https://www.imdb.com/title/tt0591774/?ref_=ttep_ep16,,
Grace Under Fire,5,1993–1998,2,9,Cold Turkey,22-Nov-1994,Thanksgiving,https://www.imdb.com/title/tt0591684/?ref_=ttep_ep9,,
Grace Under Fire,5,1993–1998,2,12,The Holidays,13-Dec-1994,Christmas,https://www.imdb.com/title/tt0591767/?ref_=ttep_ep12,,
Grace Under Fire,5,1993–1998,3,5,Grace Under a Wig,18-Oct-1995,Halloween,https://www.imdb.com/title/tt0591709/?ref_=ttep_ep5,,
Grace Under Fire,5,1993–1998,3,9,Thanks for Nothing,22-Nov-1995,Thanksgiving,https://www.imdb.com/title/tt0789450/?ref_=ttep_ep9,,
Grace Under Fire,5,1993–1998,3,12,"Emmet, We Hardly Knew Ye",20-Dec-1995,Christmas,https://www.imdb.com/title/tt0591694/?ref_=ttep_ep12,,
Grace Under Fire,5,1993–1998,4,6,The Ghost and Mrs. Kelly,30-Oct-1996,Halloween,https://www.imdb.com/title/tt0591764/?ref_=ttep_ep6,,
Grace Under Fire,5,1993–1998,4,12,A Holly Jolly Christmas,18-Dec-1996,Christmas,https://www.imdb.com/title/tt0591677/?ref_=ttep_ep12,,
Grace Under Fire,5,1993–1998,5,4,Mother Christmas,16-Dec-1997,Christmas,https://www.imdb.com/title/tt0591736/?ref_=ttep_ep4,,
Gossip Girl,6,2007–2012,1,9,Blair Waldorf Must Pie!,28-Nov-2007,Thanksgiving,https://www.imdb.com/title/tt1036074/?ref_=ttep_ep9,,
Gossip Girl,6,2007–2012,1,11,Roman Holiday,19-Dec-2007,Christmas,https://www.imdb.com/title/tt1036064/?ref_=ttep_ep11,,
Gossip Girl,6,2007–2012,2,11,The Magnificent Archibalds,17-Nov-2008,Thanksgiving,https://www.imdb.com/title/tt1266846/?ref_=ttep_ep11,,
Gossip Girl,6,2007–2012,3,11,The Treasure of Serena Madre,30-Nov-2009,Thanksgiving,https://www.imdb.com/title/tt1548668/?ref_=ttep_ep11,,
Gossip Girl,6,2007–2012,5,15,"Crazy, Cupid, Love",13-Feb-2012,St. Valentine's Day,https://www.imdb.com/title/tt1979711/?ref_=ttep_ep15,,
Gossip Girl,6,2007–2012,6,8,It's Really Complicated,3-Dec-2012,Thanksgiving,https://www.imdb.com/title/tt2461452/?ref_=ttep_ep8,,
Gimme a Break!,6,1981–1987,3,10,A Kanisky Christmas,22-Dec-1983,Christmas,https://www.imdb.com/title/tt0879030/?ref_=ttep_ep10,,
Gimme a Break!,6,1981–1987,3,16,Valentine,9-Feb-1984,St. Valentine's Day,https://www.imdb.com/title/tt0879052/?ref_=ttep_ep16,,
Gimme a Break!,6,1981–1987,4,13,The Spirit of Christmas,22-Dec-1984,Christmas,https://www.imdb.com/title/tt0588310/?ref_=ttep_ep13,,
Gimme a Break!,6,1981–1987,5,13,Snippets,14-Dec-1985,Christmas,https://www.imdb.com/title/tt0879041/?ref_=ttep_ep13,,
Gimme a Break!,6,1981–1987,6,12,Christmas in New York,10-Dec-1986,Christmas,https://www.imdb.com/title/tt0879026/?ref_=ttep_ep12,,
George Lopez,6,2002–2007,2,4,Halloween Cheer,23-Oct-2002,Halloween,https://www.imdb.com/title/tt0587218/?ref_=ttep_ep4,,
George Lopez,6,2002–2007,2,11,Meet the Cuban Parents,11-Dec-2002,Christmas,https://www.imdb.com/title/tt0587228/?ref_=ttep_ep11,,
George Lopez,6,2002–2007,2,14,The Valentine's Day Massacre,5-Feb-2003,St. Valentine's Day,https://www.imdb.com/title/tt0587249/?ref_=ttep_ep14,,
George Lopez,6,2002–2007,3,10,Would You Like a Drumstick or a Kidney?,21-Nov-2003,Thanksgiving,https://www.imdb.com/title/tt0587256/?ref_=ttep_ep10,,
George Lopez,6,2002–2007,3,12,Christmas Punch,12-Dec-2003,Christmas,https://www.imdb.com/title/tt0587182/?ref_=ttep_ep12,,
George Lopez,6,2002–2007,4,10,A Clear and Presentless Danger,14-Dec-2004,Christmas,https://www.imdb.com/title/tt0587174/?ref_=ttep_ep10,,
George Lopez,6,2002–2007,5,5,Trick or Treat Me Right,26-Oct-2005,Halloween,https://www.imdb.com/title/tt0759131/?ref_=ttep_ep5,,
George Lopez,6,2002–2007,5,11,George Is Being Elfish and Christ-misses His Family,14-Dec-2005,Christmas,https://www.imdb.com/title/tt0759127/?ref_=ttep_ep11,,
Hope & Faith,3,2003–2006,1,9,Phone Home for the Holidays,21-Nov-2003,Thanksgiving,https://www.imdb.com/title/tt0604839/?ref_=ttep_ep10,,
Hope & Faith,3,2003–2006,1,11,"Silent Night, Opening Night",12-Dec-2003,Christmas,https://www.imdb.com/title/tt0604844/?ref_=ttep_ep12,,
Hope & Faith,3,2003–2006,1,15,Mismatch,13-Feb-2004,St. Valentine's Day,https://www.imdb.com/title/tt0604833/?ref_=ttep_ep16,,
Hope & Faith,3,2003–2006,2,5,Faith Scare-Field,29-Oct-2004,Halloween,https://www.imdb.com/title/tt0604817/?ref_=ttep_ep5,,
Hope & Faith,3,2003–2006,2,10,9021-Uh-Oh,26-Nov-2004,Thanksgiving,https://www.imdb.com/title/tt0604798/?ref_=ttep_ep10,,
Hope & Faith,3,2003–2006,2,12,Aru-Bah Humbug,17-Dec-2004,Christmas,https://www.imdb.com/title/tt0604804/?ref_=ttep_ep12,,
Hope & Faith,3,2003–2006,3,6,The Halloween Party,28-Oct-2005,Halloween,https://www.imdb.com/title/tt0604851/?ref_=ttep_ep6,,
Hope & Faith,3,2003–2006,3,11,Christmas Time,13-Dec-2005,Christmas,https://www.imdb.com/title/tt0604811/?ref_=ttep_ep11,,
Home Improvement,8,1991–1999,1,12,Yule Better Watch Out,17-Dec-1991,Christmas,https://www.imdb.com/title/tt0603593/?ref_=ttep_ep12,,
Home Improvement,8,1991–1999,1,18,"Baby, It's Cold Outside",18-Feb-1992,St. Valentine's Day,https://www.imdb.com/title/tt0603427/?ref_=ttep_ep18,,
Home Improvement,8,1991–1999,2,6,Haunting of Taylor House,28-Oct-1992,Halloween,https://www.imdb.com/title/tt0603470/?ref_=ttep_ep6,,
Home Improvement,8,1991–1999,2,12,I'm Scheming of a White Christmas,16-Dec-1992,Christmas,https://www.imdb.com/title/tt0603479/?ref_=ttep_ep12,,
Home Improvement,8,1991–1999,3,6,Crazy for You,27-Oct-1993,Halloween,https://www.imdb.com/title/tt0603447/?ref_=ttep_ep6,,
Home Improvement,8,1991–1999,3,10,A Frozen Moment,24-Nov-1993,Christmas,https://www.imdb.com/title/tt0603407/?ref_=ttep_ep10,,
Home Improvement,8,1991–1999,3,12,Twas the Blight Before Christmas,15-Dec-1993,Christmas,https://www.imdb.com/title/tt0603404/?ref_=ttep_ep12,,
Home Improvement,8,1991–1999,4,6,Borland Ambition,25-Oct-1994,Halloween,https://www.imdb.com/title/tt0603437/?ref_=ttep_ep6,,
