Series,S,Years,Season,Episode,Name,Date,Holiday,link,Description,Cover
The Office,9,2005–2013,9,5,Here Comes Treble,25-Oct-2012,Halloween,https://www.imdb.com/title/tt2433396/?ref_=ttep_ep5,,
The Office,9,2005–2013,9,9,Dwight Christmas,6-Dec-2012,Christmas,https://www.imdb.com/title/tt2514850/?ref_=ttep_ep9,,
The Office,9,2005–2013,9,15,Couples Discount,7-Feb-2013,St. Valentine's Day,https://www.imdb.com/title/tt2572738/?ref_=ttep_ep15,,
2 Broke Girls,6,2011–2017,1,10,And the Very Christmas Thanksgiving,21-Nov-2011,Thanksgiving,https://www.imdb.com/title/tt2102511/?ref_=ttep_ep10,,
2 Broke Girls,6,2011–2017,1,10,And the Very Christmas Thanksgiving,21-Nov-2011,Christmas,https://www.imdb.com/title/tt2102511/?ref_=ttep_ep10,,
2 Broke Girls,6,2011–2017,2,12,And the High Holidays,17-Dec-2012,Christmas,https://www.imdb.com/title/tt2556388/?ref_=ttep_ep12,,
2 Broke Girls,6,2011–2017,4,7,And a Loan for Christmas,15-Dec-2014,Christmas,https://www.imdb.com/title/tt4116608/?ref_=ttep_ep7,,
30 Rock,7,2006–2013,1,13,Up All Night,8-Feb-2007,St. Valentine's Day,https://www.imdb.com/title/tt0944245/?ref_=ttep_ep14,,
30 Rock,7,2006–2013,2,9,Ludachristmas,13-Dec-2007,Christmas,https://www.imdb.com/title/tt1001594/?ref_=ttep_ep9,,
30 Rock,7,2006–2013,3,6,Christmas Special,11-Dec-2008,Christmas,https://www.imdb.com/title/tt1248348/?ref_=ttep_ep6,,
30 Rock,7,2006–2013,3,11,St. Valentine's Day,12-Feb-2009,St. Valentine's Day,https://www.imdb.com/title/tt1248332/?ref_=ttep_ep11,,
30 Rock,7,2006–2013,4,8,Secret Santa,10-Dec-2009,Christmas,https://www.imdb.com/title/tt1540153/?ref_=ttep_ep8,,
30 Rock,7,2006–2013,4,13,Anna Howard Shaw Day,11-Feb-2010,St. Valentine's Day,https://www.imdb.com/title/tt1590350/?ref_=ttep_ep13,,
30 Rock,7,2006–2013,5,10,Christmas Attack Zone,9-Dec-2010,Christmas,https://www.imdb.com/title/tt1635807/?ref_=ttep_ep10,,
30 Rock,7,2006–2013,6,6,"Hey, Baby, What's Wrong?: Part 1",9-Feb-2012,St. Valentine's Day,https://www.imdb.com/title/tt2105091/?ref_=ttep_ep6,,
30 Rock,7,2006–2013,6,7,"Hey, Baby, What's Wrong?: Part 2",9-Feb-2012,St. Valentine's Day,https://www.imdb.com/title/tt2372246/?ref_=ttep_ep7,,
3rd Rock from the Sun,6,1996–2001,2,10,"Gobble, Gobble, Dick, Dick",24-Nov-1996,Thanksgiving,https://www.imdb.com/title/tt0502676/?ref_=ttep_ep10,,
3rd Rock from the Sun,6,1996–2001,2,12,Jolly Old St. Dick,15-Dec-1996,Christmas,https://www.imdb.com/title/tt0502688/?ref_=ttep_ep12,,
3rd Rock from the Sun,6,1996–2001,4,9,Happy New Dick!,15-Dec-1998,New Year,https://www.imdb.com/title/tt0502680/?ref_=ttep_ep9,,
3rd Rock from the Sun,6,1996–2001,5,11,Dick Puts the 'Id' in Cupid,8-Feb-2000,St. Valentine's Day,https://www.imdb.com/title/tt0502639/?ref_=ttep_ep11,,
3rd Rock from the Sun,6,1996–2001,6,2,Fear and Loathing in Rutherford,31-Oct-2000,Halloween,https://www.imdb.com/title/tt0502667/?ref_=tt_mv_close,,
The Sopranos,6,1999–2007,3,8,He Is Risen,15-Apr-2001,Thanksgiving,https://www.imdb.com/title/tt0705251/?ref_=ttep_ep8,Tony and Ralphie's animosity intensifies until they are forced to confront each other. Meadow starts dating Jackie's son and finds herself in a dangerous situation.,
The Sopranos,6,1999–2007,3,10,To Save Us All from Satan's Power,29-Apr-2001,Christmas,https://www.imdb.com/title/tt0705287/?ref_=ttep_ep10,Tony experiences flashbacks of Pussy's betrayal and grows concerned about Jackie Jr.'s failure to meet his responsibilities.,
The Sopranos,6,1999–2007,6,12,Kaisha,4-Jun-2006,Christmas,https://www.imdb.com/title/tt0793256/?ref_=ttep_ep12,"Tony and Phil clash, resulting in Phil's hospitalization. Meanwhile, Tony and Christopher find themselves romantically involved with the same woman.",
Dexter,8,2006–2013,4,9,Hungry Man,22-Nov-2009,Thanksgiving,https://www.imdb.com/title/tt1444429/?ref_=ttep_ep9,"Dexter delves deeper into Arthur's dark psyche while Rita prepares Thanksgiving dinner for their guests. Debra investigates Trinity, and Batista closes an old case.",
Dexter,8,2006–2013,7,11,Do You See What I See?,9-Dec-2012,Christmas,https://www.imdb.com/title/tt2235996/?ref_=ttep_ep11,"Dexter struggles to balance his life with Hannah and his relationship with Debra, as Christmas draws near. Meanwhile, he discovers that the man behind his mother's murder has been released from prison.",
The Big Bang Theory,12,2007–2019,1,6,The Middle Earth Paradigm,29-Oct-2007,Halloween,https://www.imdb.com/title/tt1091293/?ref_=ttep_ep7,"The guys attend Penny's Halloween party, but Leonard has a tense encounter with Penny's ex-boyfriend Kurt.",
The Big Bang Theory,12,2007–2019,2,11,The Bath Item Gift Hypothesis,15-Dec-2008,Christmas,https://www.imdb.com/title/tt1256021/?ref_=ttep_ep11,"Leonard becomes jealous when Penny takes an interest in a handsome physicist at the university. Meanwhile, Sheldon struggles to choose the perfect Christmas gift for Penny.",
The Big Bang Theory,12,2007–2019,3,11,The Maternal Congruence,14-Dec-2009,Christmas,https://www.imdb.com/title/tt1558530/?ref_=ttep_ep11,"Leonard's mother pays a visit, much to Leonard's chagrin and Sheldon's excitement",
The Big Bang Theory,12,2007–2019,3,15,The Large Hadron Collision,8-Feb-2010,St. Valentine's Day,https://www.imdb.com/title/tt1589887/?ref_=ttep_ep15,"Leonard is invited to visit the CERN laboratory in Switzerland on Valentine's Day, and Sheldon competes with Penny to be his guest. ",
The Big Bang Theory,12,2007–2019,5,7,The Good Guy Fluctuation,27-Oct-2011,Halloween,https://www.imdb.com/title/tt2082016/?ref_=ttep_ep7, Sheldon tries to scare the gang after they play a prank on him for Halloween. Leonard seeks Penny's advice when an attractive comic book artist shows interest in him.,
The Big Bang Theory,12,2007–2019,6,5,The Holographic Excitation,25-Oct-2012,Halloween,https://www.imdb.com/title/tt2411582/?ref_=ttep_ep5," Raj organizes Stuart's Halloween party at the comic book store while Howard's constant talk about space annoys the gang. Meanwhile, Penny makes an effort to take an interest in Leonard's work.",
The Big Bang Theory,12,2007–2019,6,11,The Santa Simulation,13-Dec-2012,Christmas,https://www.imdb.com/title/tt2559784/?ref_=ttep_ep11,"The girls take Raj out to a nightclub to help him find a date. Meanwhile, a game of Dungeons and Dragons brings back memories of Santa Claus for Sheldon.",
The Big Bang Theory,12,2007–2019,6,16,The Tangible Affection Proof,14-Feb-2013,St. Valentine's Day,https://www.imdb.com/title/tt2668846/?ref_=ttep_ep16,"Sheldon enlists Alex's help to buy a Valentine's Day gift for Amy. Leonard, Penny, Howard, and Bernadette have a disastrous dinner together. Raj and Stuart host a ""Lonely People"" party at the comic book store",
The Big Bang Theory,12,2007–2019,7,9,The Thanksgiving Decoupling,21-Nov-2013,Thanksgiving,https://www.imdb.com/title/tt3309570/?ref_=ttep_ep9,"The gang decides to spend Thanksgiving at Mrs. Wolowitz's house, but Sheldon is unhappy about the holiday, and tensions rise when Penny's ex-boyfriend shows up.",
The Big Bang Theory,12,2007–2019,7,11,The Cooper Extraction,12-Dec-2013,Christmas,https://www.imdb.com/title/tt3337724/?ref_=ttep_ep11, Sheldon goes back home to Texas for the holidays. The absence of Sheldon causes the group to appreciate his unique personality and contribution to their friendships.,
The Big Bang Theory,12,2007–2019,7,15,The Locomotive Manipulation,6-Feb-2014,St. Valentine's Day,https://www.imdb.com/title/tt3477310/?ref_=ttep_ep15,"Sheldon and Amy go on a train ride to Napa Valley with Howard and Bernadette for Valentine's Day. Meanwhile, Leonard and Penny take care of Raj's dog.",
The Big Bang Theory,12,2007–2019,8,11,The Clean Room Infiltration,11-Dec-2014,Christmas,https://www.imdb.com/title/tt3823252/?ref_=ttep_ep11,"Amy hosts a traditional Victorian Christmas Eve dinner for the gang, while Raj's father visits from India. The guys try to get rid of a bird they accidentally let into the university clean room.",
The Big Bang Theory,12,2007–2019,9,9,The Platonic Permutation,19-Nov-2015,Thanksgiving,https://www.imdb.com/title/tt5143500/?ref_=ttep_ep9,"Sheldon and Amy try to spend time together as friends and visit an aquarium on Thanksgiving. Howard agrees to volunteer at the soup kitchen with Bernadette, Raj, and Emily.",
The Big Bang Theory,12,2007–2019,9,15,The Valentino Submergence,11-Feb-2016,St. Valentine's Day,https://www.imdb.com/title/tt5341496/?ref_=ttep_ep15,"Sheldon and Amy host a Valentine's Day edition of ""Fun with Flags"". Leonard and Penny come to terms with the challenges of aging. Meanwhile, Howard and Bernadette discover a surprise in their hot tub.",
The Big Bang Theory,12,2007–2019,10,12,The Holiday Summation,5-Jan-2017,Christmas,https://www.imdb.com/title/tt6320950/?ref_=ttep_ep12,"The gang share stories about their holiday breaks. Sheldon and Amy talk about their trip to Texas, Leonard and Penny share their Christmas tree adventure, and Howard and Bernadette discuss their experiences as new parents.",
The Big Bang Theory,12,2007–2019,12,6,The Imitation Perturbation,25-Oct-2018,Halloween,https://www.imdb.com/title/tt6674704/?ref_=ttep_ep6,Wolowitz dresses up as Sheldon for Halloween and Sheldon seeks revenge. Leonard is surprised when Penny doesn't remember their first kiss.,
Dynasty,9,1981–1989,5,12,That Holiday Spirit,19-Dec-1984,Christmas,https://www.imdb.com/title/tt0567465/?ref_=ttep_ep12,"Dominique joins the Carringtons for a Christmas gala. The party is highlighted by an announcement from Blake, which draws a lot of attention. ",
Dawson's Creek,6,1998–2003,3,7,Escape from Witch Island,17-Nov-1999,Halloween,https://www.imdb.com/title/tt0555111/?ref_=ttep_ep7,"Dawson enlists friends to shoot a documentary for history class about a local haunted spot. As they work, tales of love and witches make Dawson and Joey reflect on their relationship while Jen and Pacey develop a new bond.",
Dawson's Creek,6,1998–2003,3,8,Guess Who's Coming to Dinner,24-Nov-1999,Thanksgiving,https://www.imdb.com/title/tt0555124/?ref_=ttep_ep8,"On Thanksgiving Jen's mother arrives, leading Dawson to confront her about her secret past. He tries to bring Jen and her mother closer. Gail is frustrated with Grams taking over cooking.",
Dawson's Creek,6,1998–2003,3,14,Valentine's Day Massacre,2-Feb-2000,St. Valentine's Day,https://www.imdb.com/title/tt0555200/?ref_=ttep_ep14,Joey questions Dawson's judgment when he and Pacey lead their friends to a secret party on a golf course hosted by a wealthy and snobbish student.,
Dawson's Creek,6,1998–2003,4,10,Self Reliance,20-Dec-2000,Christmas,https://www.imdb.com/title/tt0555159/?ref_=ttep_ep10,"Joey struggles to find time to study when Bessie goes on a weekend getaway, as she juggles responsibilities at the B&B and Pacey's advances. Dealing with her emotions about Dawson kissing Gretchen at the Christmas party.",
Dawson's Creek,6,1998–2003,5,9,Four Scary Stories,12-Dec-2001,Halloween,https://www.imdb.com/title/tt0555115/?ref_=ttep_ep9,"Joey, Jack, and Pacey share scary stories at Grams' house after watching a disappointing horror film. Joey recounts a spooky incident at the library on Halloween night while studying alone.",
Dawson's Creek,6,1998–2003,6,6,Living Dead Girl,30-Oct-2002,Halloween,https://www.imdb.com/title/tt0555141/?ref_=ttep_ep6,"Dawson sees a ghostly apparition and suspects Todd's up to something at his Halloween costume party. Meanwhile, Jack encourages Jen to call C.J., but when he shows up at the party with another guy, Jen thinks he's gay.",
Dawson's Creek,6,1998–2003,6,10,Merry Mayhem,11-Dec-2002,Christmas,https://www.imdb.com/title/tt0555145/?ref_=ttep_ep10,"Dawson returns to Capeside for Christmas. He struggles with his feelings about Natasha's relationship with Max, while Todd's drinking concerns Gail. Joey arrives with Audrey, and Eddie surprises them with a Christmas tree.",
Black-ish,8,2014-2022,1,6,The Prank King,29-Oct-2014,Halloween,https://www.imdb.com/title/tt3737492/?ref_=ttep_ep6,Dre worries that his family's Halloween tradition of playing outrageous pranks on each other will be ruined when his older children refuse to participate.,
Black-ish,8,2014-2022,1,10,Black Santa/White Christmas,10-Dec-2014,Christmas,https://www.imdb.com/title/tt3737494/?ref_=ttep_ep10,"Dre wants to have a black Santa at his office Christmas party, despite HR already assigning the role. Meanwhile, Bow doesn't want to compete with Ruby for cooking the holiday dinner.",
Black-ish,8,2014-2022,1,13,"Big Night, Big Fight",11-Feb-2015,St. Valentine's Day,https://www.imdb.com/title/tt4107904/?ref_=ttep_ep13,Dre strives to maintain harmony on Valentine's Day while Diane's brothers and sisters endeavor to teach her the art of giving compliments.,
Black-ish,8,2014-2022,2,6,Jacked o' Lantern,28-Oct-2015,Halloween,https://www.imdb.com/title/tt4831824/?ref_=ttep_ep6,"Dre's children are disappointed when their cousins come to the neighborhood to trick-or-treat; Dre also has to face his childhood bully, his cousin June Bug.",
Black-ish,8,2014-2022,2,10,Stuff,9-Dec-2015,Christmas,https://www.imdb.com/title/tt4831828/?ref_=ttep_ep10,Dre wants to reduce the commercialization of Christmas and spend more time together. His parents suggest cutting down on gifts but the kids don't agree. ,
Black-ish,8,2014-2022,3,5,The Purge,26-Oct-2016,Halloween,https://www.imdb.com/title/tt5569916/?ref_=ttep_ep5,"Dre teaches his son a lesson in pranking after being embarrassed during a basketball game. Meanwhile, the neighborhood participates in mischief night for Halloween, where petty crimes are allowed.",
Black-ish,8,2014-2022,3,7,Auntsgiving,16-Nov-2016,Thanksgiving,https://www.imdb.com/title/tt5569922/?ref_=ttep_ep7,"Pops' sister Almaviligerais shows up for Thanksgiving, much to everyone's delight except Ruby. While Bow and Dre go on vacation, the kids try to uncover why Ruby has a grudge against Almaviligerais.",
Black-ish,8,2014-2022,3,10,"Just Christmas, Baby",14-Dec-2016,Christmas,https://www.imdb.com/title/tt5569928/?ref_=ttep_ep10,"Dre aims to make a memorable Christmas for his family as Zoey prepares to leave for college. Meanwhile, Bow takes care of Gigi's newborn and realizes the challenges of motherhood.",
Black-ish,8,2014-2022,5,3,Scarred for Life,30-Oct-2018,Halloween,https://www.imdb.com/title/tt9048324/?ref_=ttep_ep3,"The twins refuse to participate in the family Halloween costume, worrying it will ruin their social standing in school. To help them, Dre and Bow create a haunted house and invite their entire seventh-grade class.",
Black-ish,8,2014-2022,5,8,Christmas in Theater Eight,11-Dec-2018,Christmas,https://www.imdb.com/title/tt9178372/?ref_=ttep_ep8,The Johnson family struggles to agree on which movie to watch during their annual Christmas theater trip. Junior feels embarrassed when his ex mistakes him for a theater employee.,
Black-ish,8,2014-2022,5,12,Dreamgirls and Boys,12-Feb-2019,St. Valentine's Day,https://www.imdb.com/title/tt9452228/?ref_=ttep_ep12,"Dre and Bow deal with identity politics, Diane faces heartbreak as her crush starts spending time with another girl, and Junior's Valentine's Day date goes wrong after a talk about chivalry.",
Black-ish,8,2014-2022,6,6,Everybody Blames Raymond,29-Oct-2019,Halloween,https://www.imdb.com/title/tt11106102/?ref_=ttep_ep6,The Johnsons clash over the family Halloween costume and try to make Devante's first trick-or-treating experience perfect. They also try to get rid of Jack's new friend Raymond.,
Black-ish,8,2014-2022,6,10,Father Christmas,10-Dec-2019,Christmas,https://www.imdb.com/title/tt11327598/?ref_=ttep_ep10,"Pops surprises Dre with holiday cheer, but a visitor from Lynette's past dampens the family's holiday spirit.",
Black-ish,8,2014-2022,6,15,The Gauntlet,11-Feb-2020,St. Valentine's Day,https://www.imdb.com/title/tt11416502/?ref_=ttep_ep15,"Dre struggles to find the perfect Valentine's Day gift for Bow, while Ruby's outdated dating advice fails to help Jack with his love problems.",
Black-ish,8,2014-2022,7,8,Compton Around the Christmas Tree,2-Dec-2020,Christmas,https://www.imdb.com/title/tt13350226/?ref_=ttep_ep8,"Dre takes his family to his hometown of Compton to reconnect with his roots, but Bow has an idea to teach the kids about the spirit of giving by having them volunteer.",
Boy Meets World,7,1993–2014,1,10,Santa's Little Helper,10-Dec-1993,Christmas,https://www.imdb.com/title/tt0530934/?ref_=ttep_ep10,Cory tries to get Shawn a present after his dad gets laid off at Christmas. Morgan is traumatized when Santa Claus has a heart attack.,
Boy Meets World,7,1993–2014,2,6,Who's Afraid of Cory Wolf?,28-Oct-1994,Halloween,https://www.imdb.com/title/tt0530980/?ref_=ttep_ep6,"Cory thinks he might be a werewolf after being bitten by an animal, and a fortune teller confirms it. She warns him of three prophecies, one involving killing a girl who loves him.",
Boy Meets World,7,1993–2014,3,10,Train of Fools,15-Dec-1995,New Year,https://www.imdb.com/title/tt0530970/?ref_=ttep_ep10,The teens are stranded without transportation and end up spending New Year's Eve in an abandoned subway car.,
Boy Meets World,7,1993–2014,4,10,Turkey Day,22-Nov-1996,Thanksgiving,https://www.imdb.com/title/tt0530972/?ref_=ttep_ep10,Cory and Shawn try to promote unity between their families by suggesting they celebrate Thanksgiving together after learning about tribal prejudices in Africa.,
Boy Meets World,7,1993–2014,4,12,Easy Street,13-Dec-1996,Christmas,https://www.imdb.com/title/tt0530872/?ref_=ttep_ep12,Cory gets a job at a Mafia-controlled restaurant but quits when he finds out. Shawn takes the job instead to earn money for Christmas.,
Boy Meets World,7,1993–2014,4,16,A Long Walk to Pittsburgh: Part 1,7-Feb-1997,St. Valentine's Day,https://www.imdb.com/title/tt0831014/?ref_=ttep_ep16,"Shawn kisses Topanga on the cheek and Eric tells Cory, causing tension. When Cory learns Topanga is moving away, he realizes his priorities.",
Boy Meets World,7,1993–2014,4,17,A Long Walk to Pittsburgh: Part 2,14-Feb-1997,St. Valentine's Day,https://www.imdb.com/title/tt0530838/?ref_=ttep_ep17,Topanga runs away from home in the rain to convince her parents to let her live with an aunt in town. Cory and Topanga must prove their love to their parents.,
Boy Meets World,7,1993–2014,5,5,The Witches of Pennbrook,31-Oct-1997,Halloween,https://www.imdb.com/title/tt0530965/?ref_=ttep_ep5,"Jack prioritizes his new girlfriend over his friendship with Eric, who uncovers that she's a witch. While Eric tries to warn Jack, Topanga conquers her fear of flying during a trip to Pittsburgh with Cory.",
Boy Meets World,7,1993–2014,5,8,Chasing Angela: Part 2,14-Nov-1997,Thanksgiving,https://www.imdb.com/title/tt0530862/?ref_=ttep_ep8,"Shawn confesses to Cory about his feelings for Angela after a mix-up with a lost purse, but is uncertain if Angela feels the same way. Meanwhile, Eric and Jack host Thanksgiving dinner for the Matthews family in their new apartment.",
Boy Meets World,7,1993–2014,5,11,A Very Topanga Christmas,19-Dec-1997,Christmas,https://www.imdb.com/title/tt0831015/?ref_=ttep_ep11,"Cory invites Topanga to spend Christmas with his family, but they clash over their differing holiday traditions, causing Cory to question their future together.",
Boy Meets World,7,1993–2014,5,15,First Girlfriends' Club,13-Feb-1998,St. Valentine's Day,https://www.imdb.com/title/tt0530878/?ref_=ttep_ep15,"Shawn's ex-girlfriends kidnap him on Valentine's Day to prevent him from hurting Angela, convinced that he will ruin their relationship. Meanwhile, Topanga reads a letter from Lauren and Cory must face the consequences.",
Boy Meets World,7,1993–2014,6,11,Santa's Little Helpers,11-Dec-1998,Christmas,https://www.imdb.com/title/tt0530935/?ref_=ttep_ep11,"Cory and Topanga confront the fact that Shawn and Angela still have feelings for each other, but they disagree on how to handle the situation.",
Boy Meets World,7,1993–2014,6,16,My Baby Valentine,12-Feb-1999,St. Valentine's Day,https://www.imdb.com/title/tt0530914/?ref_=ttep_ep16,"Cory plans a baby shower for Amy, but it turns out to be a disaster. Amy goes into premature labor, and the family rushes to the hospital. Meanwhile, Shawn is lost and Morgan is unhappy about the new baby. Jack and Rachel worry about Eric's reaction to their relationship.",
Dharma & Greg,5,1997–2002,1,10,The First Thanksgiving,26-Nov-1997,Thanksgiving,https://www.imdb.com/title/tt0559097/?ref_=ttep_ep10,Dharma tries to cook Thanksgiving dinner while Kitty makes a restaurant reservation as a backup plan.,
Dharma & Greg,5,1997–2002,1,12,Haus Arrest,17-Dec-1997,Christmas,https://www.imdb.com/title/tt0559041/?ref_=ttep_ep12,"Dharma struggles to take care of Greg's teenage cousin, Jennifer.",
Dharma & Greg,5,1997–2002,1,16,Dharma and Greg's First Romantic Valentine's Day Weekend,11-Feb-1998,St. Valentine's Day,https://www.imdb.com/title/tt0559026/?ref_=ttep_ep16,"Greg's plan for a romantic weekend getaway goes awry, leaving him and his partner disappointed. Meanwhile, Kitty suspects that Larry may be interested in mate-swapping.",
Dharma & Greg,5,1997–2002,2,16,See Dharma Run,10-Feb-1999,St. Valentine's Day,https://www.imdb.com/title/tt0559082/?ref_=ttep_ep16,"Dharma receives a parking ticket while feeding expired meters out of kindness, which leads her to run for the Board of Supervisors. Meanwhile, Jane and Pete tie the knot on Valentine's Day.",
Dharma & Greg,5,1997–2002,3,6,The Very Grateful Dead,26-Oct-1999,Halloween,https://www.imdb.com/title/tt0559109/?ref_=ttep_ep6,"Dharma channels the spirit of a deceased neighbor woman who lived an unfulfilled life, leading her to confront the regrets she has in her own life.",
Dharma & Greg,5,1997–2002,3,10,Thanksgiving Until It Hurts,23-Nov-1999,Thanksgiving,https://www.imdb.com/title/tt0559090/?ref_=ttep_ep10,"Greg and Dharma struggle to balance Thanksgiving celebrations hosted by both their families. Abby has a breakdown over preparing the turkey, and Kitty's cooking is a disaster.",
Dharma & Greg,5,1997–2002,3,15,The Trouble with Troubador,8-Feb-2000,St. Valentine's Day,https://www.imdb.com/title/tt0559108/?ref_=ttep_ep15,"Bob Dylan calls Dharma while Greg is in the middle of confirming their Valentine's weekend plans, surprising Greg that they were already friends from playing music together.",
Dharma & Greg,5,1997–2002,5,7,Used Karma,30-Oct-2001,Halloween,https://www.imdb.com/title/tt0559116/?ref_=ttep_ep7,"Dharma buys a haunted sports car previously owned by a gangster named Shorty Green. Meanwhile, Edward hires a security professional to catch the Halloween egg thrower at his house.",
Dharma & Greg,5,1997–2002,5,9,Wish We Weren't Here,20-Nov-2001,Thanksgiving,https://www.imdb.com/title/tt0559120/?ref_=ttep_ep9,"Greg and Dharma's Thanksgiving Bahamas trip is cancelled due to bad weather, leaving them stranded in Fort Wayne. While Greg tries to rebook their flights, Dharma helps a couple save their relationship before their wedding.",
Law & Order. Organized Crime,22,2021-,2,9,The Christmas Episode,9-Dec-2021,Christmas,https://www.imdb.com/title/tt16034636/?ref_=ttep_ep9,"Stabler enlists Benson and the task force to find his missing son Eli, while Wheatley contemplates his future.",
Law & Order. Organized Crime,22,2021-,3,9,Last Christmas,8-Dec-2022,Christmas,https://www.imdb.com/title/tt23469180/?ref_=ttep_ep9,"A unit of police officers is closing down when they receive an offer from Robert Silas to surrender and cooperate. As they head to meet him, they discover they are not the only ones looking for him.",
Orange Is the New Black,7,2013–2019,1,9,Fucksgiving,11-Jul-2013,Thanksgiving,https://www.imdb.com/title/tt2640490/?ref_=ttep_ep9,"Piper reconciles with Alex and prepares for a visit from Larry on Thanksgiving. But when Piper is sent to solitary confinement for dancing with Alex, she confronts harsh realities and reevaluates her life choices.",
Orange Is the New Black,7,2013–2019,1,13,Can't Fix Crazy,11-Jul-2013,Christmas,https://www.imdb.com/title/tt2754708/?ref_=ttep_ep13,"Red's kitchen plan fails, inmates stage a Christmas pageant, and Piper's safety is threatened, leading her to reassess her plans.",
Orange Is the New Black,7,2013–2019,2,6,You Also Have a Pizza,6-Jun-2014,St. Valentine's Day,https://www.imdb.com/title/tt3262410/?ref_=ttep_ep6,The inmates get ready for a Valentine's Day party and love is in the air. Red makes an intriguing discovery and Larry approaches Piper to be his prison mole.,