Series	S	Years	Link	tags
It's Always Sunny in Philadelphia	18	 2005– 	https://www.imdb.com/title/tt0472954/?ref_=nv_sr_srsg_0	
Six Feet Under	5	2001–2005	https://www.imdb.com/title/tt0248654/?ref_=nv_sr_srsg_0	
Supernatural	15	2005–2020	https://www.imdb.com/title/tt0460681/?ref_=tt_ov_inf	
Brooklyn Nine-Nine	8	2013–2021	https://www.imdb.com/title/tt2467372/?ref_=nv_sr_srsg_0	
Bones	12	2005–2017	https://www.imdb.com/title/tt0460627/?ref_=tt_ov_inf	
Smallville	10	2001–2011	https://www.imdb.com/title/tt0279600/?ref_=tt_ov_inf	
House M.D.	8	2004–2012	https://www.imdb.com/title/tt0412142/?ref_=tt_ov_inf	
Scrubs	9	2001–2010	https://www.imdb.com/title/tt0285403/?ref_=tt_ov_inf	
Friends	10	1994–2004	https://www.imdb.com/title/tt0108778/?ref_=tt_ov_inf	
Beverly Hills, 90210	10	1990–2000	https://www.imdb.com/title/tt0098749/?ref_=tt_ov_inf	
Grey’s Anatomy	19	2005– 	https://www.imdb.com/title/tt0413573/?ref_=tt_ov_inf	
How I met your mother	9	2005–2014	https://www.imdb.com/title/tt0460649/?ref_=tt_ov_inf	
Seinfeld	9	1989–1998	https://www.imdb.com/title/tt0098904/?ref_=tt_ov_inf	
Two and a Half Men	12	2003–2015	https://www.imdb.com/title/tt0369179/?ref_=tt_ov_inf	
Gilmore Girls	7	2000–2007	https://www.imdb.com/title/tt0238784/?ref_=nv_sr_srsg_0	
The X-files	11	1993–2018	https://www.imdb.com/title/tt0106179/?ref_=nv_sr_srsg_0	
This Is Us	6	2016–2022	https://www.imdb.com/title/tt5555260/?ref_=fn_al_tt_1	
Happy Days	11	1974–1984	https://www.imdb.com/title/tt0070992/?ref_=nv_sr_srsg_0	
The Golden Girls	7	1985–1992	https://www.imdb.com/title/tt0088526/?ref_=nv_sr_srsg_0	
Murder, She Wrote	12	1984–1996	https://www.imdb.com/title/tt0086765/?ref_=nv_sr_srsg_0	
Ted Lasso	2	2020–	https://www.imdb.com/title/tt10986410/?ref_=fn_al_tt_1	
Glee	6	2009–2015	https://www.imdb.com/title/tt1327801/?ref_=nv_sr_srsg_0	
Buffy the Vampire Slayer	7	1997–2003	https://www.imdb.com/title/tt0118276/?ref_=nv_sr_srsg_0	
Downton Abbey	6	2010–2015	https://www.imdb.com/title/tt1606375/?ref_=nv_sr_srsg_0	
Mad Men	7	2007–2015	https://www.imdb.com/title/tt0804503/?ref_=fn_al_tt_1	
Everybody Loves Raymond	9	1996–2005	https://www.imdb.com/title/tt0115167/?ref_=nv_sr_srsg_0	
Everybody Hates Chris	4	2005–2009	https://www.imdb.com/title/tt0460637/?ref_=nv_sr_srsg_0	
Evening Shade	4	1990–1994	https://www.imdb.com/title/tt0098790/?ref_=nv_sr_srsg_0	
Ellen	5	1994–1998	https://www.imdb.com/title/tt0108761/?ref_=fn_al_tt_1	
Full House	8	1987–1995	https://www.imdb.com/title/tt0092359/?ref_=vp_close	
Grace Under Fire	5	1993–1998	https://www.imdb.com/title/tt0106017/?ref_=nv_sr_srsg_0	
Gossip Girl	6	2007–2012	https://www.imdb.com/title/tt0397442/?ref_=nv_sr_srsg_3	
Gimme a Break!	6	1981–1987	https://www.imdb.com/title/tt0081869/?ref_=nv_sr_srsg_0	